discomfort,Glare_diagram,describe,Experiment,participant,ev,edir,eindir,log_gc,dgp,cgi,dgi,dgi_mod,av_lum,med_lum,ugr,ugp,ugr_exp,av_lum_cie,,,,,,,,,,
No,0,Imperceptible,1,18,575.807356,367.84561,208.4197872,0.550364434,0.244323347,26.78938599,18.5110017,18.13120834,124.80727,24.322207,25.15679142,0.608755694,17.24379024,183.285174,,,,,,,,,,
No,0,Imperceptible,1,19,964.755901,668.300841,297.4058045,0.321224413,0.246119572,26.44439392,17.09071794,16.59507665,256.606122,52.215235,24.33673955,0.594688711,17.89979564,307.091341,,,,,,,,,,
No,0,Imperceptible,1,19,1316.520466,921.26051,395.7987275,0.320062144,0.266661456,28.04720682,17.86037465,17.40070718,346.756602,69.54898,25.3456822,0.611952723,19.1293446,419.0614797,,,,,,,,,,
Yes,1,Noticeable,1,19,672.654453,454.166786,219.3241492,0.569200431,0.251737416,27.796761,18.89656464,18.43750293,151.326931,28.336577,26.19765031,0.626167331,17.91526128,214.1125624,,,,,,,,,,
Yes,1,Disturbing,1,19,1128.380031,820.54724,307.8327858,0.599027809,0.281226661,30.81218997,20.8042374,20.21752638,242.125557,43.884245,28.7035217,0.665968282,21.06222352,359.1745192,,,,,,,,,,
No,1,Noticeable,1,20,2183.718335,1627.57522,556.1431067,0.338269607,0.319237416,31.25266123,19.73172433,19.14233984,545.766285,107.312655,27.72590146,0.650803308,22.17512911,695.0991347,,,,,,,,,,
No,0,Imperceptible,1,20,784.29649,530.329832,253.9666549,0.575370145,0.258857183,28.59513213,19.52709447,19.07423274,171.368582,33.50981,26.75318963,0.635252382,18.86833958,249.6493265,,,,,,,,,,
No,1,Noticeable,1,20,1377.880521,966.702787,411.1777255,0.332876881,0.271439684,28.48826643,18.34116873,17.86448333,346.248263,71.994773,25.70322446,0.617959256,19.7410183,438.5929918,,,,,,,,,,
No,0,Imperceptible,1,20,1042.066361,740.894432,302.197561,0.577139894,0.274150738,30.11944032,20.37138038,19.83548372,226.851173,45.014581,28.01463613,0.655330975,20.43592535,331.7000248,,,,,,,,,,
Yes,1,Noticeable,1,21,988.951902,772.077601,216.8742976,0.49224805,0.263239848,29.08722468,20.10698311,19.14072309,215.977877,37.011777,27.86709163,0.653022408,21.73106173,314.7931674,,,,,,,,,,
Yes,1,Disturbing,1,21,876.112373,681.929364,194.1830074,0.77922931,0.282961047,31.47953526,22.05996591,21.2221446,173.183141,25.49204,30.47783093,0.692283648,22.2757463,278.8752297,,,,,,,,,,
Yes,1,Intolerable,1,21,1821.168513,1469.790881,351.3776256,0.49574291,0.312411791,32.4932488,21.76080387,20.78156515,397.038985,66.907726,30.19873517,0.688248187,24.48960095,579.6959421,,,,,,,,,,
Yes,1,Intolerable,1,21,668.662936,489.655866,179.0070666,0.74342204,0.267496658,29.69938645,21.03810817,20.31949763,131.507717,19.46443,28.65844855,0.665279438,20.47257774,212.8420231,,,,,,,,,,
Yes,1,Noticeable,1,22,639.594651,481.340481,158.2541674,0.752233299,0.266599223,29.62155559,21.06770143,20.25749391,126.719748,19.031271,28.88363434,0.668710887,20.68514906,203.5893006,,,,,,,,,,
Yes,1,Noticeable,1,22,940.072452,743.839343,196.2331071,0.748076923,0.283855714,31.56877764,22.14091364,21.22985696,186.319702,29.190486,30.59801481,0.694009414,22.7986759,299.2343552,,,,,,,,,,
No,0,Imperceptible,1,22,1771.774091,1443.11528,328.6588056,0.492285087,0.30919491,32.32204424,21.70602134,20.67625016,385.796015,63.318506,30.21159941,0.688435046,24.54781492,563.9732092,,,,,,,,,,
No,0,Imperceptible,1,22,1109.143364,852.36648,256.7768786,0.473642879,0.268587132,29.42476483,20.20057922,19.30543801,241.24729,44.011703,27.80370293,0.652027324,21.90914872,353.051298,,,,,,,,,,
Yes,1,Noticeable,1,23,474.913728,347.226706,127.6870206,0.74700371,0.256452376,28.16024052,20.16456572,19.39255989,95.009144,14.725193,27.6442263,0.649515174,19.13432312,151.1697347,,,,,,,,,,
No,1,Noticeable,1,23,1107.34803,841.912756,265.4352713,0.463915925,0.267588811,29.27503827,19.97016132,19.13026653,244.714334,44.167745,27.56008718,0.648184785,21.54519647,352.4798254,,,,,,,,,,
Yes,1,Disturbing,1,23,963.594686,736.347051,227.2476324,0.733794935,0.283925383,31.48288148,21.9284635,21.14859899,191.792476,31.624111,30.10915765,0.68694474,22.22528108,306.7217148,,,,,,,,,,
No,0,Imperceptible,1,23,1921.627369,1553.918392,367.7089719,0.475326089,0.316434462,32.55815852,21.63523573,20.66255803,423.983659,75.315806,30.14705176,0.687496628,24.49672901,611.6729891,,,,,,,,,,
Yes,1,Noticeable,1,24,1893.389735,1548.340643,345.0490882,0.476137945,0.314851441,32.51372147,21.63346182,20.61120919,421.820617,72.94187,30.28161621,0.689450627,24.62289267,602.684671,,,,,,,,,,
Yes,1,Imperceptible,1,24,1183.14053,905.515556,277.6249712,0.457876233,0.271483387,29.56216137,20.07680261,19.22603478,262.826328,48.399549,27.76033768,0.651345442,21.81288341,376.6053274,,,,,,,,,,
Yes,1,Noticeable,1,24,895.83835,683.830814,212.0075339,0.720943604,0.278768334,30.98517594,21.68507147,20.88391731,179.005391,31.106606,29.75012479,0.681680278,21.95616474,285.1542032,,,,,,,,,,
No,0,Imperceptible,1,24,561.078942,389.879932,171.1990088,0.702132896,0.257391134,28.39241822,20.19089964,19.57541844,112.746208,20.365553,27.26618783,0.643510749,19.16232626,178.5969742,,,,,,,,,,
No,0,Imperceptible,1,25,802.845768,618.771752,184.0740126,0.796238937,0.280221781,31.18734388,21.96532999,21.14667471,156.69639,20.824443,30.25876821,0.68911949,21.90767104,255.553745,,,,,,,,,,
No,0,Imperceptible,1,25,1162.612334,895.927147,266.6851822,0.500886996,0.27422677,30.00047351,20.67957127,19.77780272,247.262218,42.256595,28.30129893,0.659785778,22.42349003,370.0709997,,,,,,,,,,
No,0,Noticeable,1,25,655.849311,476.976395,178.8729143,0.750068224,0.267354618,29.66087434,21.09343896,20.38372805,127.626214,19.691994,28.60011677,0.664386476,20.46507845,208.7633195,,,,,,,,,,
No,0,Noticeable,1,25,1974.22295,1599.433394,374.78955,0.507465099,0.322472183,33.09554277,22.21421136,21.21298379,419.219239,68.647259,30.63583486,0.694550994,25.12940312,628.4146825,,,,,,,,,,
No,1,Noticeable,1,26,970.129496,775.485324,194.6441713,0.76675748,0.287334938,31.93230776,22.43585887,21.49274506,189.368568,26.878395,31.0118496,0.699896637,23.2223924,308.8018095,,,,,,,,,,
No,0,Imperceptible,1,26,1901.994108,1564.761118,337.2329848,0.511085726,0.318564724,32.96697351,22.20353907,21.12796831,406.346765,63.865496,30.80248709,0.696928933,25.25884623,605.423528,,,,,,,,,,
Yes,1,Noticeable,1,26,619.278186,441.212103,178.0660811,0.730333953,0.263396286,29.16489193,20.78685045,20.11652908,121.024073,20.003019,28.05006768,0.655883771,20.01035768,197.1223689,,,,,,,,,,
No,0,Imperceptible,1,26,1125.128586,856.763707,268.3648756,0.485503478,0.270614267,29.62122816,20.422918,19.55383207,239.795963,41.600363,27.88524542,0.653307027,22.08866202,358.1395522,,,,,,,,,,
No,1,Noticeable,1,27,524.72301,395.435031,129.2879762,0.787369205,0.263081734,29.04353256,20.80614142,19.9738742,104.514418,15.035494,28.6384748,0.664973863,20.09134901,167.0245216,,,,,,,,,,
Yes,1,Imperceptible,1,27,1717.361358,1394.22429,323.1370638,0.496502918,0.30638808,32.18886843,21.59356045,20.58745757,376.436163,56.856505,30.11745563,0.687065653,24.30833828,546.6530984,,,,,,,,,,
Yes,1,Noticeable,1,27,1178.862206,935.961468,242.900734,0.497355079,0.274856408,30.0993079,20.61598632,19.62571851,259.642901,42.256016,28.67467846,0.665527592,22.62939439,375.2434946,,,,,,,,,,
Yes,1,Noticeable,1,27,997.225217,775.306679,221.9185362,0.747424523,0.287150691,31.8276234,22.20930567,21.3745698,198.109365,30.77428,30.54774283,0.693288417,22.73515722,317.4266453,,,,,,,,,,
No,0,Imperceptible,1,28,925.22608,738.568146,186.6579317,0.766320317,0.284658976,31.68279402,22.26935649,21.33072655,184.028142,26.904467,30.84528522,0.697537375,22.99374154,294.5086082,,,,,,,,,,
No,0,Imperceptible,1,28,1735.824776,1412.97762,322.8471513,0.491060665,0.306972283,32.19131875,21.59129566,20.57016625,383.924053,63.854166,30.12595015,0.687189393,24.40121537,552.5301869,,,,,,,,,,
No,0,Imperceptible,1,28,1052.338074,806.305811,246.0322579,0.476816256,0.265543977,29.18361891,20.01865021,19.13889945,233.857925,41.666301,27.64880501,0.649587473,21.60328807,334.9696126,,,,,,,,,,
Yes,1,Noticeable,1,28,543.301494,379.274639,164.0268533,0.71184847,0.257239487,28.35015516,20.23623132,19.59810949,109.602383,21.155515,27.30240547,0.644088998,19.21203921,172.9382367,,,,,,,,,,
No,0,Imperceptible,1,29,723.420513,559.690624,163.729888,0.499629412,0.248330764,27.59422779,19.56143218,18.53030889,153.956887,22.999473,26.89913702,0.637614746,20.82717137,230.2719012,,,,,,,,,,
Yes,1,Noticeable,1,29,1722.941422,1370.233515,352.7079016,0.514720625,0.308388015,32.36628829,21.84357262,20.90717436,365.547626,58.519278,30.04620331,0.686026293,24.32154218,548.4292879,,,,,,,,,,
No,0,Imperceptible,1,29,785.201982,589.98914,195.2128404,0.766586825,0.276464027,30.74536996,21.71018855,20.94440962,151.593131,21.17791,29.62601577,0.679845543,21.52080835,249.9375535,,,,,,,,,,
No,0,Imperceptible,1,29,531.782585,380.295643,151.4869412,0.74150587,0.259285877,28.58149237,20.5310468,19.81725919,102.864064,14.727295,27.73157439,0.650892657,19.58961197,169.2716541,,,,,,,,,,
No,0,Noticeable,1,30,1874.684901,1516.123894,358.5610028,0.507264714,0.316610904,32.79616064,22.06419494,21.06323205,399.236155,65.352718,30.45118385,0.691900035,24.90025259,596.7307375,,,,,,,,,,
No,1,Noticeable,1,30,612.423212,438.068079,174.3551313,0.741176259,0.263989223,29.22588758,20.85589729,20.17399243,119.406494,18.317297,28.15718712,0.657551288,20.07927724,194.9403629,,,,,,,,,,
No,1,Noticeable,1,30,356.378916,235.62078,120.7581343,0.673294982,0.242727922,26.06879401,18.95686042,18.34195807,70.126954,11.629858,25.23976608,0.610162076,17.31023677,113.4389322,,,,,,,,,,
No,0,Imperceptible,1,30,804.31403,596.415572,207.8984564,0.464862619,0.249887622,27.61812234,19.38407435,18.52089537,171.927861,30.298233,26.34315494,0.628561003,20.56206492,256.0211073,,,,,,,,,,
No,0,Noticeable,1,31,1569.426049,1258.668318,310.7577248,0.524645746,0.300287789,31.98429882,21.72129326,20.73649658,332.550799,48.317594,29.99361781,0.685257603,24.12929585,499.563827,,,,,,,,,,
No,0,Noticeable,1,31,1096.358242,868.632347,227.7258927,0.52126016,0.272207911,29.99014499,20.81938551,19.79972054,232.290142,33.82512,28.70441029,0.665981852,22.71847511,348.9816672,,,,,,,,,,
No,0,Noticeable,1,31,629.146643,457.825072,171.3215686,0.759680867,0.266669612,29.55975763,21.07450412,20.35625205,122.010285,17.993549,28.57322588,0.663974257,20.3894627,200.2635963,,,,,,,,,,
No,0,Noticeable,1,31,985.611188,759.443577,226.1676094,0.754246426,0.287095199,31.81507812,22.2715611,21.45692133,191.447357,27.912905,30.47208925,0.69220102,22.68003857,313.7297851,,,,,,,,,,
No,1,Disturbing,1,32,1251.079246,995.173561,255.9056804,0.511183994,0.280365042,30.58049082,21.04689773,20.03689276,267.256731,40.350017,29.04083622,0.671091508,23.18164677,398.2308924,,,,,,,,,,
No,1,Disturbing,1,32,909.695087,694.340535,215.3545491,0.747601052,0.282028878,31.3237656,22.04727728,21.23875086,177.530466,29.671471,30.05691374,0.686182688,22.32604902,289.5649396,,,,,,,,,,
No,1,Noticeable,1,32,607.152988,431.090999,176.0619869,0.733123911,0.262940655,29.09496079,20.77725642,20.11026592,118.148309,19.23959,27.98832319,0.654920047,19.96071828,193.2627985,,,,,,,,,,
No,1,Noticeable,1,32,1688.252537,1341.995648,346.2568829,0.505616789,0.305516045,32.14656521,21.77384225,20.81818708,357.625563,60.633589,29.8728075,0.683486388,24.30536776,537.3874729,,,,,,,,,,
No,0,Imperceptible,1,33,723.834871,554.292609,169.5422585,0.806067946,0.276486144,30.76134802,21.77969219,20.96389967,141.076266,18.423121,29.96479014,0.684835618,21.51395095,230.4037954,,,,,,,,,,
