E_v,lum_sources,omega_sources,position index
429.822927,9378.703769,0.0083016835,3.012758
429.822927,10843.329682,0.0227899764,1.459459
31.946186,44.351158,290.489654,24.258043
709.470556,10966.712784,0.0477461854,1.722306
32.190182,76.932921,467.778652,23.203417
329.954246,9687.622827,0.0225931233,1.485130
31.363485,36.781190,214.402729,23.237896
448.701611,9378.555704,0.0083565436,2.941163
448.701611,10634.400844,0.0229992380,1.463909
31.687386,50.695109,289.438228,24.035244
125.002702,9749.886927,0.0086912086,2.852806
26.051302,22.161563,55.380098,17.537968
739.369838,11282.500219,0.0480592214,1.668250
32.572956,78.857350,491.632164,23.518461
527.732892,8977.633966,0.0442495145,1.680652
31.322363,53.484630,359.705967,22.922228
122.687875,9587.698270,0.0082125919,2.871815
25.730177,22.762352,51.177838,17.287575
454.059481,9377.591312,0.0084092396,2.848028
454.059481,11007.609658,0.0231524210,1.481891
31.879906,48.659261,301.191901,24.185139
440.931150,11572.952970,0.0232609689,1.493198
31.888657,56.323634,263.985234,23.412968
428.690443,8324.768422,0.0075946256,2.854116
428.690443,9008.943663,0.0225137854,1.470230
30.386408,59.992408,240.218732,23.033112
644.706466,10511.587683,0.0470346430,1.656030
32.386414,61.809962,450.524741,23.569101
383.921598,11495.230586,0.0229872674,1.495450
32.251266,39.584558,259.563038,23.786148
122.504711,9600.872317,0.0081827811,2.871815
25.731586,22.738759,51.068791,17.287102
533.113440,9323.411277,0.0442471014,1.783998
31.152754,53.780338,364.157524,22.644552
112.011932,9404.097067,0.0080418770,3.143371
25.187881,20.694168,46.999286,16.701029
346.502169,10532.457806,0.0231025826,1.467908
32.045158,34.597966,237.809452,23.740507
497.307062,8920.208340,0.0083529830,3.094595
497.307062,10884.434943,0.0233276707,1.474335
31.464981,64.440490,294.861289,23.649574
290.944467,8859.939956,0.0221667124,1.473143
31.058630,31.545950,191.839941,23.096722
655.989329,10062.648058,0.0455328518,1.660546
31.766296,76.068060,417.014466,23.032017
432.209604,9145.630129,0.0082282636,2.910220
432.209604,10598.003379,0.0231143839,1.500640
31.636971,45.689070,288.673156,24.018629
182.448960,9828.066220,0.0085943494,2.960266
24.490952,40.702491,54.578311,16.415817
528.392202,9016.271970,0.0433496536,1.628709
31.490883,53.976359,358.820465,23.101162
332.789892,9948.274882,0.0228712477,1.470902
31.666002,35.162650,222.323167,23.478579
184.082660,9446.666725,0.0084446594,2.526719
25.241671,40.399333,57.164410,17.337812
509.429404,9096.136996,0.0084052453,2.929841
509.429404,11085.903597,0.0234818904,1.500578
31.478848,65.255613,304.422847,23.665226
357.865927,8918.282262,0.0223680560,1.498434
30.315779,51.733585,195.340073,22.372862
667.573248,9942.961546,0.0459489628,1.672693
31.597267,80.270753,415.395236,22.873995
189.183157,9173.827848,0.0082697848,2.819004
24.074747,43.961674,51.073483,16.280085
489.406385,8686.490151,0.0080672205,2.750564
489.406385,10461.282849,0.0235743859,1.504095
31.171732,63.648283,289.449405,23.518040
